accountNo,firstName,lastName,city,state,cardmemberSince
9232681,Kameko,Grigg,West Palm Beach,Florida,1998
6381275,Malissa,Cattenach,Washington,District of Columbia,1988
1893928,Micaela,Neubigin,Fort Myers,Florida,2005
4425206,Karolina,Feathers,Meridian,Mississippi,2003
4907747,Jesselyn,Bridywater,Kansas City,Missouri,2011
8583003,Katey,Caroli,Jamaica,New York,2005
9583426,Jany,Durtnal,Silver Spring,Maryland,1998
8116793,Doyle,Dytham,Phoenix,Arizona,2004
8972449,Anna,Comberbeach,Charleston,West Virginia,1998
2161434,Alf,McLleese,Alhambra,California,2010
9464985,Sigvard,Churchward,Dallas,Texas,1989
3995549,Archambault,Lavens,Muncie,Indiana,2000
9551196,Kirstyn,Amori,Akron,Ohio,2009
1948251,Shay,Slaten,Grand Rapids,Michigan,1996
8398317,Isiahi,Fawbert,San Jose,California,1991
4807189,Sonnie,Cherrington,San Jose,California,2012
1589300,Darb,Pavinese,Houston,Texas,2001
3245776,Dore,Cordsen,San Jose,California,1999
5125402,Modesta,Whorlow,Lancaster,California,2000
8134048,Sunny,Madelin,Honolulu,Hawaii,2011
9065342,Tadd,Welland,Charleston,West Virginia,1988
2006126,Alvin,Bernardotte,Decatur,Georgia,2009
3667609,Revkah,Passfield,Henderson,Nevada,2003
1233750,Estele,Presdie,Chicago,Illinois,1992
8465422,Minnie,Golde,Springfield,Illinois,2008
2447534,Clair,Behning,Austin,Texas,2007
4748528,Barton,Wickersham,El Paso,Texas,2009
2594127,Etienne,Bes,Manassas,Virginia,1994
0196832,Berkeley,Guillond,Sacramento,California,2011
3162500,Karee,Snoad,Bronx,New York,2010
7498572,Cameron,Ferby,Memphis,Tennessee,1995
3596167,Waldon,Dalloway,Bethesda,Maryland,1994
0192112,Skipper,Lilburn,Colorado Springs,Colorado,2005
7626136,Rebeka,Cogin,Kansas City,Missouri,2008
0419732,Willdon,Auger,Washington,District of Columbia,1998
8445981,Dasha,Marrison,Wichita,Kansas,2009
6008159,Karlyn,Brabant,Maple Plain,Minnesota,1993
7979263,Konstanze,De Laci,Fort Lauderdale,Florida,2008
2353034,Suellen,Aymerich,Fort Smith,Arkansas,1993
6521219,Antons,Leynton,Houston,Texas,2011
3141573,Rania,Deare,Chesapeake,Virginia,1994
1911422,Lynna,Reeder,Chula Vista,California,2007
8521395,Bartholemy,Oxberry,Chicago,Illinois,1993
1539422,Krissie,Lindsley,Hartford,Connecticut,2012
1634318,Nikolai,Sommerland,Garland,Texas,1997
5253668,Emalee,McGrirl,Colorado Springs,Colorado,1986
0865890,Chandler,Barthelemy,Saint Paul,Minnesota,1992
2721244,Rebeka,Guiness,Pensacola,Florida,1989
8298376,Selina,Gorler,Austin,Texas,2003
3143503,Alissa,Ville,Atlanta,Georgia,2003
9651906,Edith,Sweeten,Pittsburgh,Pennsylvania,2006
5631326,Mohandas,Gough,Miami,Florida,2010
8178555,Jilleen,Hixson,Miami,Florida,1995
6720926,Saleem,Vaughan,Akron,Ohio,2001
6237396,Davita,Yeoland,Tucson,Arizona,1990
8554345,Clifford,McDuffie,Honolulu,Hawaii,1995
1291144,Thayne,Fautley,Grand Rapids,Michigan,2012
0653569,Joseph,Cullrford,Joliet,Illinois,2011
4275446,Jarrod,Broadhurst,Sacramento,California,1998
4128117,Cymbre,Hanfrey,New York City,New York,2012
7542323,Jacynth,Yerrill,Columbus,Mississippi,1996
9542575,Adan,Ballendine,Philadelphia,Pennsylvania,2011
2638279,Melitta,Ferneley,Dallas,Texas,2007
4210508,Ethelyn,Grece,Torrance,California,1986
8002645,Letta,Tunny,Staten Island,New York,1999
8375805,Manda,Constantine,Montgomery,Alabama,2002
6246453,Emeline,Rubinchik,Washington,District of Columbia,2011
6878096,Jdavie,Delacroux,Los Angeles,California,1989
4853877,Rani,Smorthit,Columbus,Ohio,2010
6393634,Antony,Gligoraci,Las Vegas,Nevada,1988
4147601,Marc,Caron,Worcester,Massachusetts,2004
0155197,Cristy,Atty,Houston,Texas,1988
5210311,Aron,Hanscom,Raleigh,North Carolina,1993
9790477,Nicolle,Wilhelmy,Austin,Texas,2012
5759999,Haily,Sweedy,Washington,District of Columbia,1997
5327513,Donica,Scaice,Denver,Colorado,2007
4250423,Tawsha,McEwan,Fort Wayne,Indiana,1999
7041894,Elysia,Colebourn,Greensboro,North Carolina,2002
2234608,Bryanty,Rayburn,Chicago,Illinois,1992
7969009,Rhys,Emmatt,Eugene,Oregon,2007
9720331,Josee,Lendon,Salt Lake City,Utah,1993
0176391,Mildrid,Tissell,Washington,District of Columbia,1997
8332269,Maribelle,Schwandt,Louisville,Kentucky,2006
5084003,Evelyn,Cundy,San Antonio,Texas,2011
7717074,Tiebout,Blyth,Sacramento,California,2001
4001253,Demetris,Richin,Bethesda,Maryland,2005
0273096,Lisa,Haggard,Homestead,Florida,2006
7913975,Kaleb,Haysham,Phoenix,Arizona,2013
8654546,Zoe,Charville,Washington,District of Columbia,2010
9573352,Gabi,Melanaphy,Baton Rouge,Louisiana,2000
8568402,Hildy,Shaughnessy,Baltimore,Maryland,2006
0380212,Dorey,Overil,Boston,Massachusetts,1976
9250743,Valery,Barnish,Orlando,Florida,2004
0485641,Lolita,Minnis,El Paso,Texas,1991
2499876,Aldo,Rossin,Denver,Colorado,1999
5086122,Brandy,Bamford,Naples,Florida,1979
2533560,Muriel,Gaymer,Lexington,Kentucky,2012
0213796,David,Beumant,Trenton,New Jersey,1985
2323098,Tarrah,Halfacre,Mobile,Alabama,2011
8836659,Reade,Dufer,Hicksville,New York,2006
4585258,Bonnee,McGroarty,Palmdale,California,2008
0760589,Michel,Schelle,Mobile,Alabama,2003
8891239,Gracie,Lamasna,Tampa,Florida,2009
7169005,Dalli,Whereat,Bakersfield,California,2013
4053417,Erin,Ramplee,Chicago,Illinois,2000
3120718,Agnes,Boorne,Knoxville,Tennessee,2006
1490153,Corny,Heinicke,San Jose,California,2005
9243913,Bill,Anyon,Atlanta,Georgia,2012
9027688,Sydney,Kynder,Augusta,Georgia,2010
8112631,Augustine,Froom,Pompano Beach,Florida,2001
0843156,Davie,Ellins,Phoenix,Arizona,1992
4903372,Max,Borell,Virginia Beach,Virginia,2010
5064900,Gabrielle,Gotthard,Buffalo,New York,2006
0431301,Tedie,Binns,Colorado Springs,Colorado,2010
2759804,Brigitta,Baltrushaitis,Woburn,Massachusetts,1994
0439800,Angy,Gershom,Burbank,California,2000
1356101,Beverie,Bolzen,Nashville,Tennessee,1995
2455429,Manon,Mabbs,Austin,Texas,2008
8631879,Branden,de Clerk,Savannah,Georgia,2003
2240290,Blinni,Okill,Charlotte,North Carolina,2012
8190853,Robinson,Minger,Oklahoma City,Oklahoma,1998
8393240,Bobby,Rigney,El Paso,Texas,1985
6989312,Clarabelle,Hanssmann,Lake Charles,Louisiana,2011
8866099,Hastie,Bellefant,New Orleans,Louisiana,1994
1531694,Sherilyn,Venard,Appleton,Wisconsin,2001
9551950,Bengt,Doige,Fargo,North Dakota,1996
7917909,Claudette,Mazzeo,Des Moines,Iowa,2007
0957146,Belinda,Finlaison,High Point,North Carolina,2008
9463286,Caleb,Devaney,Fort Wayne,Indiana,1988
4155598,Reynolds,Pirazzi,Nashville,Tennessee,1996
9469485,Alair,ducarme,San Diego,California,2009
7154687,Gabey,Brunelleschi,Iowa City,Iowa,2005
5951771,Tansy,Jerok,Greensboro,North Carolina,2000
8613232,Mason,Ponder,Birmingham,Alabama,2012
7068791,Rosaline,Cholerton,San Antonio,Texas,2008
1671880,Wynn,Christer,Columbia,South Carolina,1997
6705824,Janet,Mepham,Riverside,California,2006
5610645,Carlyle,Bernette,Los Angeles,California,2003
9139634,Riordan,Klesse,Kansas City,Missouri,2007
4274581,Liza,Sunderland,Worcester,Massachusetts,1992
7804086,Ivonne,Clampton,Peoria,Illinois,2003
7544862,Antonio,Lycett,Las Vegas,Nevada,1992
2728927,Mavis,Bessant,Norfolk,Virginia,1990
6961049,Ward,Pauls,Sacramento,California,2003
1448264,Mamie,Dursley,Los Angeles,California,2004
9771202,Hinze,Gilchrest,Baltimore,Maryland,1995
1509845,Edlin,Ferrieres,Oklahoma City,Oklahoma,1993
8266683,Darell,Dasent,Washington,District of Columbia,2000
7004362,Jasun,Vevers,Jackson,Mississippi,2007
6556300,Raychel,Agus,Washington,District of Columbia,2010
4401106,Leslie,Purslow,Amarillo,Texas,1994
0595312,Cosimo,Delgado,Texarkana,Texas,1984
2433971,Lacey,de Courcey,Houston,Texas,1957
9632546,Staford,Ianilli,Littleton,Colorado,2004
9541311,Hertha,Jone,Anniston,Alabama,2011
1721437,Rasla,Maccaig,Salt Lake City,Utah,2004
0022243,Adan,Aisman,Albany,New York,1958
8628374,Corie,Romeuf,Reno,Nevada,2011
5233804,Teddy,Valentelli,Seattle,Washington,2008
0654815,Esme,Whale,Washington,District of Columbia,2012
7561856,Chance,Francecione,San Jose,California,2000
0128512,Jard,Baudichon,Lynn,Massachusetts,2011
9091952,Dimitri,Kimbling,Phoenix,Arizona,2000
9025349,Dorian,Terbruggen,Austin,Texas,2006
9858401,Velma,Algar,Port Charlotte,Florida,1989
6416622,Parsifal,Ord,Washington,District of Columbia,1995
3497735,Aida,Braine,Lynn,Massachusetts,2001
0127373,Lisbeth,McCerery,Pasadena,California,2011
3323697,Valeria,Yanshonok,New York City,New York,1995
6950111,Ewart,Jorio,Seattle,Washington,1996
5585836,Arlyn,Fenelow,Saint Paul,Minnesota,1990
9395150,Brenna,Tripe,Charleston,West Virginia,1999
8744525,Nilson,Draper,Gaithersburg,Maryland,1996
4636047,Creigh,Halsted,Huntsville,Alabama,2011
1733156,Conrado,Silburn,Whittier,California,2008
8882259,Sile,Ramirez,Anderson,South Carolina,1998
0605140,Ab,Spurrior,Nashville,Tennessee,2001
9216202,Hetty,Wipfler,Springfield,Ohio,1998
3453013,Ives,Minors,Chandler,Arizona,2006
6438067,Massimo,Aronowicz,Seattle,Washington,2013
8705626,Worden,O'Scanlan,Greensboro,North Carolina,1990
9653843,Frank,Lampel,Cincinnati,Ohio,2000
0740932,Trudi,Gipps,Columbia,South Carolina,1994
0799392,Coriss,Tolan,Pittsburgh,Pennsylvania,1999
7054990,Ethelind,Cadell,Maple Plain,Minnesota,2010
0078200,Georgi,Gledstane,Mobile,Alabama,1983
2278281,Sheela,Sinyard,Tampa,Florida,1985
0539726,Eula,Braid,Indianapolis,Indiana,1997
5462133,Ingram,Priddy,Alexandria,Louisiana,2002
0560073,Beau,Ledington,Columbia,Missouri,2004
3428556,Matilde,Dounbare,Sacramento,California,1977
1706841,Farleigh,Savege,Gulfport,Mississippi,2008
4713487,Jourdan,Farnorth,Winston Salem,North Carolina,2002
4928475,Marian,O'Dulchonta,Honolulu,Hawaii,1998
2903725,Dori,Carverhill,Portland,Oregon,2003
1186703,Nanci,Dooler,Phoenix,Arizona,2012
7365040,Concordia,Segot,Corpus Christi,Texas,1997
8724853,Manny,Gilders,Denver,Colorado,2012
8011844,Ibbie,Stirland,North Little Rock,Arkansas,2007
0378987,Scott,Sextie,Miami,Florida,2008
2131542,Susanetta,Ballantine,Denver,Colorado,2006
5262776,Concordia,Mouat,Topeka,Kansas,2010
0243601,Zabrina,Ryves,Detroit,Michigan,2009
7457776,Osborne,Cleal,Harrisburg,Pennsylvania,1999
2740404,Ricki,Bailles,Houston,Texas,1996
3425471,Wilbur,Cooke,Hicksville,New York,2005
2592571,Saunderson,Huffy,Sacramento,California,2001
2960157,Ranee,Bollen,Hampton,Virginia,1988
7780915,Osbourn,Matteucci,Clearwater,Florida,2006
9409219,James,Kohrsen,Miami Beach,Florida,2013
5071718,Maura,Crilley,Cleveland,Ohio,2011
7020896,Aurora,Swadden,Memphis,Tennessee,2011
5915021,Mariska,Meach,Yakima,Washington,2010
0388976,Calla,Schimon,Arlington,Virginia,2004
9896845,Leila,Cubbino,Washington,District of Columbia,2007
4651423,Em,Cattini,San Francisco,California,1996
4705983,De witt,Wulfinger,Albany,New York,2010
1708272,Elwira,Ranscomb,Nashville,Tennessee,1993
0959777,Gasparo,Ditty,Kingsport,Tennessee,1996
2936360,Gloriana,Joslyn,Oklahoma City,Oklahoma,2008
9287982,Nicko,Brantl,Los Angeles,California,2011
4998206,Pauly,Kevlin,Stamford,Connecticut,1999
4033277,Ophelie,Bonanno,Chattanooga,Tennessee,2012
3516034,Dario,Lyddyard,Pittsburgh,Pennsylvania,2005
9269404,Bettine,Berendsen,Trenton,New Jersey,1973
7584803,Shari,Gross,Fort Worth,Texas,1997
8937477,Diane-marie,Davisson,Dallas,Texas,1992
2742498,Bartolomeo,Wressell,Minneapolis,Minnesota,1976
0217443,Diane,Matic,Phoenix,Arizona,2005
5230598,Marna,Concklin,Los Angeles,California,1998
3849807,Phillipe,Stoaks,Glendale,California,2006
0081070,Alfred,Semered,Brooklyn,New York,2009
3479179,Rosana,Libbis,Inglewood,California,1992
8176381,Hector,Mac,Buffalo,New York,2005
9188278,Adeline,Goodlett,Worcester,Massachusetts,1996
4649615,Valerie,Bilsford,Gaithersburg,Maryland,1992
4499730,Lib,Soughton,Honolulu,Hawaii,1996
9430553,Romonda,Malter,Watertown,Massachusetts,2003
8148211,Victoir,Burkhill,Washington,District of Columbia,2006
4308346,Etti,Frankom,Columbia,South Carolina,2010
1478839,Aura,Vell,Concord,California,1997
3180530,Mariel,Capstake,Durham,North Carolina,1997
2020533,Bridget,Drillot,Portsmouth,New Hampshire,2011
3399555,Derrik,Collman,Oklahoma City,Oklahoma,1994
0295148,Emlynne,Beazer,Cincinnati,Ohio,1981
1441644,Lexie,Ardern,New York City,New York,2000
9150457,Martita,Gaitskill,Kansas City,Missouri,1989
0905769,Madelene,Kedge,Washington,District of Columbia,1997
2192240,Salome,Ducket,Tulsa,Oklahoma,1997
4342203,Lisette,Grain,Lancaster,Pennsylvania,2003
9979093,Silvio,Hearley,Orlando,Florida,2011
6119505,Sol,Ridolfo,Garland,Texas,2005
8992287,Lisabeth,Pattinson,Roanoke,Virginia,2009
4182284,Nicko,Petti,San Jose,California,2012
7333840,Agosto,Briskey,Naples,Florida,1998
2058272,Margaret,Killingworth,Winston Salem,North Carolina,1992
3952653,Lefty,Jemison,Berkeley,California,2009
8283837,Barry,Wroe,Spring,Texas,1992
7770639,Ros,Heintz,Raleigh,North Carolina,1991
4864705,Kasper,Elwood,Inglewood,California,2009
9107713,Cole,Burchmore,Vero Beach,Florida,2010
5935687,Maye,Batchelor,Scranton,Pennsylvania,2010
3444283,Abagail,Roy,Miami,Florida,2009
1286000,Rey,Appleford,Detroit,Michigan,1999
4303824,Callida,Napthine,Baltimore,Maryland,1992
1277769,Letta,Mulderrig,Newark,New Jersey,2004
9607741,Isacco,Woehler,El Paso,Texas,2004
3598330,Sloane,Petruska,Washington,District of Columbia,2002
0765827,Lancelot,Carvil,Warren,Michigan,2005
6844395,Caryl,Gossart,Alexandria,Virginia,2004
3077754,Yule,Stutt,Delray Beach,Florida,1999
1999111,Katine,Kubes,Pensacola,Florida,2002
0741914,Cassandre,Schwaiger,Houston,Texas,1992
2595377,Clarke,Dollin,Los Angeles,California,2008
9813730,Stephi,De Cruce,Toledo,Ohio,1996
9328538,Chelsie,MacGebenay,Topeka,Kansas,2007
5646579,Arden,Luigi,Austin,Texas,1992
0202450,Tremayne,Tythe,Washington,District of Columbia,1999
2027975,Emmi,McInulty,Madison,Wisconsin,2007
1163118,Orrin,Mansour,San Antonio,Texas,2003
8677601,Cindy,Ruffles,Phoenix,Arizona,2007
6676743,Rollin,Foggo,Oceanside,California,2008
2593745,Rochette,Olyfat,Sacramento,California,1998
0176741,Maxim,Luparto,Springfield,Illinois,2009
0610384,Dulcy,Snar,San Diego,California,1994
6001705,Caitlin,Grayson,Dallas,Texas,1998
8817592,Britta,Lymer,Santa Clara,California,2009
0151514,Teddy,Szachniewicz,Austin,Texas,2008
8525527,Gwenore,Simester,Charleston,South Carolina,2006
6363516,Rockey,Kitcher,El Paso,Texas,1967
8846029,Xylia,Firth,Jamaica,New York,1998
1941980,Ashli,Siddle,Largo,Florida,1993
8033292,Susette,Samsonsen,Las Vegas,Nevada,1997
0348261,Steve,Gigg,El Paso,Texas,1998
2828390,Janna,Middleweek,Tucson,Arizona,2003
0392238,Carlyle,Wilkerson,South Bend,Indiana,2012
9125558,Dulci,Sargant,Amarillo,Texas,1993
6724177,Kitty,Stockill,Las Vegas,Nevada,1991
5978766,Caril,Rakestraw,Bloomington,Illinois,1997
1646590,Marieann,Stickney,Saint Paul,Minnesota,1984
6055735,Shelia,Starten,Crawfordsville,Indiana,1990
1208586,Davina,Grim,Montgomery,Alabama,2012
2283517,Lorianne,Jerrard,Arlington,Texas,1994
3948957,Martica,Garbar,Bronx,New York,2003
9965484,Norma,Eltun,Jacksonville,Florida,1999
4167284,Corly,Gornal,Norfolk,Virginia,2001
8001027,Antonie,Orleton,Sioux Falls,South Dakota,1997
8384925,Melany,Ellsbury,Tampa,Florida,1975
9611221,Rosaleen,Thulborn,Alpharetta,Georgia,1994
4971899,Dianna,Guiduzzi,Anderson,Indiana,2005
7815041,Herbert,Lanbertoni,Fort Wayne,Indiana,2003
0854737,Devina,Grieger,Huntington,West Virginia,1994
1179802,Garvin,Bardnam,Dallas,Texas,2008
1957706,Gilles,Mogford,Hollywood,Florida,2001
6967030,Far,Phette,Madison,Wisconsin,2012
1156450,Linnet,Faircliffe,Atlanta,Georgia,1986
2766644,Ainslie,Olle,San Francisco,California,2006
1913921,Rupert,Rennolds,Washington,District of Columbia,1997
5048246,Willey,Tineman,Tampa,Florida,2002
0953155,Keri,Jedrzejewicz,Miami,Florida,1995
0304703,Maryanna,Memmory,New York City,New York,2009
2430713,Gerhard,Bunney,San Antonio,Texas,1993
7633553,Bucky,Bertson,Oklahoma City,Oklahoma,2011
7395269,Ilene,Scramage,Hartford,Connecticut,2011
2761817,Donia,Lorenz,Toledo,Ohio,2001
5658847,Sianna,Bratty,Houston,Texas,2004
5345096,Dorise,Gemeau,Houston,Texas,1996
9346537,Natal,Aggiss,Abilene,Texas,1991
0142777,Georg,Myrkus,Spring,Texas,1998
2849439,Emmerich,Wilder,Syracuse,New York,1992
8903640,Lindie,Wixey,New York City,New York,1999
6319900,Nick,Aikin,Boise,Idaho,2010
5891351,Jena,Humbatch,Baton Rouge,Louisiana,1998
1057487,Moises,Thorby,Cumming,Georgia,1926
9178595,Filmer,Ryson,Dallas,Texas,1995
1456743,Alonso,Hurl,Dallas,Texas,2008
8088318,Phil,Eppson,Dallas,Texas,2010
5017099,Anselm,Wederell,Toledo,Ohio,1993
0116262,Stevy,Doody,Houston,Texas,1993
0427361,Tadeas,Schnitter,Largo,Florida,2012
1963632,Kathleen,Demkowicz,Albany,New York,2001
1538766,Adrian,Estrella,Columbia,South Carolina,2002
7832844,Megen,Bath,Lancaster,Pennsylvania,2012
5714824,Mina,Marnes,Indianapolis,Indiana,1992
9951552,Amery,Geri,Monticello,Minnesota,1992
6185085,Budd,Poulglais,Winter Haven,Florida,1992
6786474,Shirlee,Orsay,Pasadena,Texas,2010
0442661,Dahlia,Mulleary,Chicago,Illinois,2001
6672758,Ogden,Nathon,Atlanta,Georgia,2004
9868535,Ralina,Josephov,Cincinnati,Ohio,2006
4322811,Sherry,Culcheth,Laredo,Texas,2005
8878164,Hesther,Poetz,Salt Lake City,Utah,1994
9868413,Gilles,Hadkins,Peoria,Illinois,2003
8492001,Riccardo,Soffe,Tulsa,Oklahoma,1965
3751972,Tonie,Newcom,Los Angeles,California,1997
3504575,Fidelia,Belfrage,Huntington,West Virginia,2007
9519669,Harrison,Fassbindler,Wichita,Kansas,1991
4456988,Gertie,McGibbon,Denver,Colorado,1993
7867448,Jobyna,Crossby,Savannah,Georgia,1984
5019420,Ardeen,Boram,Carson City,Nevada,1993
9546760,Vail,Skrines,Tampa,Florida,1997
5518142,Ofelia,Mundee,North Port,Florida,1990
1190462,Tait,Seamen,Grand Rapids,Michigan,2005
2484910,Andreana,Poznanski,Amarillo,Texas,2000
3949430,Eward,Crumpton,Schenectady,New York,2001
3545047,Cos,Ellin,Mobile,Alabama,1989
4841175,Annetta,Ingerfield,Sandy,Utah,2009
5224809,Jorie,Bicheno,Minneapolis,Minnesota,1998
0154963,Nickey,Simyson,Washington,District of Columbia,2004
0400983,Jazmin,Tebbe,Burbank,California,2005
1568275,Cari,Raitt,Naperville,Illinois,2002
6022089,Giuditta,Wabey,Portland,Oregon,2008
6633111,Bernadette,Dell Casa,Jackson,Tennessee,1999
2567469,Cherrita,Everard,Scranton,Pennsylvania,2010
9811971,Claudine,McGorman,Houston,Texas,1997
4982273,Derek,Finby,Kansas City,Missouri,1986
9214829,Brian,Polendine,Rochester,Minnesota,1997
6197999,Lynett,De Dantesie,Baltimore,Maryland,2012
4340989,Aurie,Stoakley,Minneapolis,Minnesota,2009
6554548,Robbie,Keneford,Charlotte,North Carolina,1998
2072621,Esteban,Correa,Philadelphia,Pennsylvania,2001
1226506,Ottilie,Purrier,Danbury,Connecticut,2007
3189612,Kiley,Moisey,New York City,New York,1992
6896469,Korney,Tout,Berkeley,California,2003
0541687,Margareta,Lenahan,Houston,Texas,2005
4086579,Shani,Sapey,Houston,Texas,2006
0596287,August,Benitti,Fort Lauderdale,Florida,2000
5803106,Layton,Peckett,Norfolk,Virginia,2003
7395902,Willyt,Shiliton,New York City,New York,2004
8565084,Ollie,Trounce,Flint,Michigan,2007
9157938,Zondra,Gross,Arlington,Texas,2002
8084713,Tildy,Wordsworth,Honolulu,Hawaii,2007
4584970,Bourke,Valentin,Missoula,Montana,1988
4078128,Marylynne,Jennaroy,Huntington,West Virginia,2012
3344632,Langston,Barford,Minneapolis,Minnesota,1994
7088767,Vernor,Bentsen,El Paso,Texas,2010
1833069,Fredek,Muggleton,Reno,Nevada,1993
9186590,Umeko,Luetkemeyers,El Paso,Texas,1987
2573959,Sharity,Tomkin,Farmington,Michigan,2009
3322863,Sheree,Suttie,Colorado Springs,Colorado,2006
6308333,Wylie,Kreutzer,Mobile,Alabama,2008
4139106,Kathie,Lavrinov,San Jose,California,2004
1197986,Gaston,Mettetal,Rochester,New York,1988
4941474,Carleen,Akerman,Cincinnati,Ohio,1992
0909538,Frederica,Norway,Ogden,Utah,2007
7678019,Bunni,Corley,Baltimore,Maryland,1993
4295682,Elberta,Fadian,Wichita Falls,Texas,2012
2022035,Salomon,Stannard,Shreveport,Louisiana,2008
4933487,Carmencita,Methingam,Springfield,Illinois,2010
8589131,Rodrick,Flinn,San Jose,California,2004
0877617,Mirabella,Alyokhin,Austin,Texas,2000
3332115,Junia,Gadson,Harrisburg,Pennsylvania,2006
1971789,Marwin,Buessen,Hialeah,Florida,2005
4599555,Diahann,Ratchford,Miami,Florida,1999
0256186,Bartram,Dunstall,Decatur,Georgia,2005
7273480,Ignace,Allgood,Sioux City,Iowa,2012
6591595,Olly,Isakov,Los Angeles,California,2010
3982429,Dorothea,Kits,Seattle,Washington,2006
2604713,Jackelyn,Dowe,Sacramento,California,2001
1140700,Thibaut,Klimentyev,Long Beach,California,1998
8821994,Keith,Driscoll,Richmond,Virginia,2010
2547943,Linn,Hesser,Akron,Ohio,2009
5631069,Base,Downing,Roanoke,Virginia,2010
8505836,Remington,McLukie,Fresno,California,1999
7172029,Yehudi,Yea,Sacramento,California,2011
4437666,Kelley,Lightman,Sioux Falls,South Dakota,1999
3005331,Nona,Cutriss,Pensacola,Florida,2003
9988343,Goldina,Schaffler,Danbury,Connecticut,2006
1840970,Ian,Lemmertz,Clearwater,Florida,2004
3297977,Budd,Hannigane,Amarillo,Texas,2008
2021091,Hollie,Ritelli,Honolulu,Hawaii,2006
9241533,Isidore,Mazillius,Tuscaloosa,Alabama,1992
3509902,Alexander,Trengrove,Boca Raton,Florida,2002
3369818,Shir,Jaray,Murfreesboro,Tennessee,1992
3584981,Winna,Prahm,Minneapolis,Minnesota,1997
9506497,Dru,Bernth,Albuquerque,New Mexico,2004
4230267,Tony,Roggers,Naples,Florida,1997
3306042,Bordie,Fayers,Canton,Ohio,2001
7703644,Gabi,Haggerty,Tacoma,Washington,2008
2642913,Edythe,Croxley,Garland,Texas,2009
0939588,Delcine,Edinborough,Greenville,South Carolina,1994
4638546,Wylma,Vittery,Cleveland,Ohio,2007
6649389,Trevor,Cant,Montgomery,Alabama,1999
6372706,Lowe,Girardetti,Chicago,Illinois,2000
3870239,Fae,Rosina,Los Angeles,California,2001
3209000,Augusta,Gummer,Pensacola,Florida,2012
2419633,Marthe,Matiebe,Bakersfield,California,1994
2891478,Hedda,Rushton,Clearwater,Florida,2008
8577943,Olivette,Thomen,El Paso,Texas,2002
0821673,Rodi,Pree,Portland,Oregon,2002
3158026,Olag,De'Vere - Hunt,Detroit,Michigan,1997
0397891,Bord,Queen,New York City,New York,2001
4685468,Ag,Ferriby,El Paso,Texas,2004
5269494,Augy,Fliege,Washington,District of Columbia,2003
9470519,Gill,Lambregts,Paterson,New Jersey,2005
9616539,Neils,Burton,El Paso,Texas,2010
8546128,Gregor,Bolderson,Boston,Massachusetts,1997
9547389,Brittaney,Schiesterl,Orlando,Florida,2012
6143520,Blondelle,Hann,Saint Louis,Missouri,1993
9663899,Sharlene,Maginot,Fresno,California,2008
3533482,Corey,Fenner,Boston,Massachusetts,1994
7716351,Marcelle,Cordner,Seattle,Washington,1994
1488626,Laurianne,Philipsohn,El Paso,Texas,2001
9921890,Winny,Cayle,Lafayette,Louisiana,2005
2127532,Aloysius,Barton,Tampa,Florida,1998
7180281,Brittney,Alfonsetti,Tacoma,Washington,1995
8337872,Antonella,Sebyer,Philadelphia,Pennsylvania,1997
8332861,Latisha,Chaffen,Peoria,Illinois,2009
